2026/03/13 00:31:23 INFO  : _assets: Set directory modification time (using SetModTime)
2026/03/13 00:31:24 INFO  : _scripts: Set directory modification time (using SetModTime)
2026/03/13 00:31:24 INFO  : backups: Set directory modification time (using SetModTime)
2026/03/13 00:31:24 INFO  : Systems: Set directory modification time (using SetModTime)
2026/03/13 00:31:30 INFO  : Portfolio/2026-wellpath/wellpath/.firebaserc: Updated modification time in destination
2026/03/13 00:31:30 INFO  : Portfolio/2026-wellpath/wellpath/.git: Set directory modification time (using SetModTime)
2026/03/13 00:31:30 INFO  : Systems/XSpace/bash-space/update.sh: Copied (new)
2026/03/13 00:31:30 INFO  : Systems/XSpace/bash-space/README.md: Copied (new)
2026/03/13 00:31:30 INFO  : Systems/XSpace/code-space/20260309_prompt_assistant_codespace_assistant_master_v1.1.0.md: Copied (new)
2026/03/13 00:31:30 INFO  : Portfolio/2026-wellpath/wellpath/analysis_options.yaml: Updated modification time in destination
2026/03/13 00:31:30 INFO  : Portfolio/2026-wellpath/wellpath/build: Set directory modification time (using SetModTime)
2026/03/13 00:31:31 INFO  : Portfolio/2026-wellpath/wellpath/ios: Set directory modification time (using SetModTime)
2026/03/13 00:31:31 INFO  : Systems/QSpace/2026-qspace-pages/pages/.dart_tool/extension_discovery: Set directory modification time (using SetModTime)
2026/03/13 00:31:31 INFO  : Systems/XSpace/bash-space/install.sh: Copied (new)
2026/03/13 00:31:31 INFO  : Portfolio/2026-wellpath/wellpath/firebase.json: Updated modification time in destination
2026/03/13 00:31:31 INFO  : Systems/XSpace/code-space/20260309_prompt_assistant_codespace_assistant_master_v1.2.0.md: Copied (new)
2026/03/13 00:31:32 INFO  : Systems/QSpace/2026-qspace-pages/pages/linux/flutter: Set directory modification time (using SetModTime)
2026/03/13 00:31:32 INFO  : Portfolio/2026-wellpath/wellpath/linux: Set directory modification time (using SetModTime)
2026/03/13 00:31:32 INFO  : Systems/XSpace/git-space/CHANGELOG.md: Copied (new)
2026/03/13 00:31:32 INFO  : Systems/QSpace/2026-qspace-pages/pages/windows/flutter: Set directory modification time (using SetModTime)
2026/03/13 00:31:32 INFO  : Portfolio/2026-wellpath/wellpath/macos: Set directory modification time (using SetModTime)
2026/03/13 00:31:32 INFO  : Systems/XSpace/git-space/install.sh: Copied (new)
2026/03/13 00:31:33 INFO  : Systems/XSpace/git-space/README.md: Copied (new)
2026/03/13 00:31:33 INFO  : Portfolio/2026-wellpath/wellpath/test: Set directory modification time (using SetModTime)
2026/03/13 00:31:33 INFO  : Systems/XSpace/git-space/uninstall.sh: Copied (new)
2026/03/13 00:31:34 INFO  : Systems/QSpace/2026-qspace-pages/pages/ios/Flutter/flutter_export_environment.sh: Updated modification time in destination
2026/03/13 00:31:34 INFO  : _scripts/fedora/20260309_rclone_sync_onedrive_sconl.txt: Copied (new)
2026/03/13 00:31:34 INFO  : _scripts/fedora/20260310_fedora_command_unbind_battery_v1.0.0.sh: Copied (new)
2026/03/13 00:31:35 INFO  : Portfolio/2026-wellpath/wellpath/web: Set directory modification time (using SetModTime)
2026/03/13 00:31:35 INFO  : Portfolio/2026-wellpath/wellpath/windows: Set directory modification time (using SetModTime)
2026/03/13 00:31:36 INFO  : Systems/XSpace/bash-space/.bashspace/backups.conf: Copied (new)
2026/03/13 00:31:36 INFO  : Systems/QSpace/2026-qspace-pages/pages/.dart_tool/extension_discovery/vs_code.json: Updated modification time in destination
2026/03/13 00:31:36 INFO  : Systems/XSpace/bash-space/bin/backupx: Copied (new)
2026/03/13 00:31:36 INFO  : Systems/XSpace/bash-space/bin/updatex: Copied (new)
2026/03/13 00:31:37 INFO  : Systems/XSpace/bash-space/bin/refreshx: Copied (new)
2026/03/13 00:31:37 INFO  : Systems/QSpace/2026-qspace-pages/pages/ios/Flutter/ephemeral/flutter_lldbinit: Updated modification time in destination
2026/03/13 00:31:37 INFO  : Systems/QSpace/2026-qspace-pages/pages/ios/Flutter/ephemeral/flutter_lldb_helper.py: Updated modification time in destination
2026/03/13 00:31:37 INFO  : Systems/QSpace/2026-qspace-pages/pages/macos/Flutter/ephemeral/flutter_export_environment.sh: Updated modification time in destination
2026/03/13 00:31:38 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/refs/heads/refactor: Set directory modification time (using SetModTime)
2026/03/13 00:31:38 NOTICE: Systems/QSpace/2026-qspace-pages/pages/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux: Can't follow symlink without -L/--copy-links
2026/03/13 00:31:38 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/04/23aba54b59ebdae6c0c67c0556861587e7b7a6: Updated modification time in destination
2026/03/13 00:31:38 INFO  : Systems/XSpace/git-space/.git/COMMIT_EDITMSG: Copied (new)
2026/03/13 00:31:38 INFO  : Systems/XSpace/git-space/.git/config: Copied (new)
2026/03/13 00:31:38 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/04/67bf12aa4d28f374bb26596605a46dcbb3e7c8: Updated modification time in destination
2026/03/13 00:31:38 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/dartpad: Set directory modification time (using SetModTime)
2026/03/13 00:31:38 NOTICE: Systems/QSpace/2026-qspace-pages/pages/windows/flutter/ephemeral/.plugin_symlinks/path_provider_windows: Can't follow symlink without -L/--copy-links
2026/03/13 00:31:39 INFO  : Systems/XSpace/git-space/.git/description: Copied (new)
2026/03/13 00:31:39 INFO  : Systems/XSpace/git-space/.git/HEAD: Copied (new)
2026/03/13 00:31:40 INFO  : Systems/Sconl/Spark/GitHub/Sconl/.git/refs/heads: Set directory modification time (using SetModTime)
2026/03/13 00:31:40 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/extension_discovery: Set directory modification time (using SetModTime)
2026/03/13 00:31:40 INFO  : Systems/XSpace/git-space/.git/index: Copied (new)
2026/03/13 00:31:40 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/05/c3e9d709dcbf4b7915552dfee2b27a426d924f: Updated modification time in destination
2026/03/13 00:31:40 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/05/e9ae9e33b66f05b2f1ba7d3b4321e6116d7106: Updated modification time in destination
2026/03/13 00:31:41 INFO  : Systems/XSpace/git-space/completion/gitspace-completion.sh: Copied (new)
2026/03/13 00:31:42 INFO  : Portfolio/2026-wellpath/wellpath/.git/objects: Set directory modification time (using SetModTime)
2026/03/13 00:31:42 INFO  : Systems/XSpace/git-space/bin/git-commitx: Copied (new)
2026/03/13 00:31:42 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/06/952be745f9fa6fa75196e830d9578eb2ee631d: Updated modification time in destination
2026/03/13 00:31:42 INFO  : Systems/XSpace/git-space/bin/git-prx: Copied (new)
2026/03/13 00:31:42 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/refs/remotes/origin/refactor: Set directory modification time (using SetModTime)
2026/03/13 00:31:43 INFO  : Systems/XSpace/git-space/lib/formatting.sh: Copied (new)
2026/03/13 00:31:43 INFO  : Systems/XSpace/git-space/lib/safety.sh: Copied (new)
2026/03/13 00:31:43 INFO  : Systems/XSpace/git-space/lib/ui.sh: Copied (new)
2026/03/13 00:31:44 INFO  : Systems/XSpace/git-space/lib/validation.sh: Copied (new)
2026/03/13 00:31:45 INFO  : Systems/Sconl/Spark/GitHub/Sconl/.git/refs/remotes/origin: Set directory modification time (using SetModTime)
2026/03/13 00:31:46 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/09/d4391482be68e9e4a07fab769b5de337d16eb1: Updated modification time in destination
2026/03/13 00:31:46 INFO  : Portfolio/2026-wellpath/wellpath/android/.gitignore: Updated modification time in destination
2026/03/13 00:31:46 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/09/1c3e8b60486e57476d43b301880f4098b616c6: Updated modification time in destination
2026/03/13 00:31:46 INFO  : Systems/XSpace/bash-space/templates/commit/default.txt: Copied (new)
2026/03/13 00:31:46 INFO  : Portfolio/2026-wellpath/wellpath/android/app: Set directory modification time (using SetModTime)
2026/03/13 00:31:46 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/extension_discovery/vs_code.json: Updated modification time in destination
2026/03/13 00:31:46 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/extension_discovery/README.md: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Account Web Data-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/BookmarkMergedSurfaceOrdering: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/IndexedDB: Set directory modification time (using SetModTime)
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Affiliation Database-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/BrowsingTopicsSiteData-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/BrowsingTopicsSiteData: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Account Web Data: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Cookies-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Systems/QSpace/2026-qspace-pages/pages/.git/objects/0a/3f5fa40fb3d1e0710331a48de5d256da3f275d: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Systems/XSpace/git-space/.git/hooks/applypatch-msg.sample: Copied (new)
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/assets/animated-gifs: Set directory modification time (using SetModTime)
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/build/22c144ef4f754b548cb88568e4391603: Set directory modification time (using SetModTime)
2026/03/13 00:31:47 INFO  : Systems/XSpace/git-space/.git/hooks/fsmonitor-watchman.sample: Copied (new)
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Favicons-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Sessions: Set directory modification time (using SetModTime)
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/heavy_ad_intervention_opt_out.db-journal: Updated modification time in destination
2026/03/13 00:31:47 INFO  : Portfolio/2026-wellpath/wellpath/.dart_tool/chrome-device/Default/Affiliation Database: Updated modification time in destination
